,g,layers,emb,epoch,kt,avg
467,ER,4,16,2,0.8752460455374989,0.06285710108681491
468,ER,4,16,3,0.8741582161363421,0.0632934690393258
469,ER,4,16,4,0.8713416829035454,0.062170030946988496
470,ER,4,16,5,0.870812872401291,0.06572507410645458
471,ER,4,16,6,0.8686319892887392,0.06648088143196244
472,ER,4,16,7,0.867847462628402,0.06898031192627556
473,ER,4,16,8,0.8660789479278241,0.07195258547809365
474,ER,4,16,9,0.8655771787760328,0.07161773979613566
475,ER,4,16,10,0.8634873520140334,0.07514499996810103
476,ER,4,16,11,0.8637436141772016,0.07463322066767508
477,ER,4,16,12,0.8637653541982238,0.07611961524771252
478,ER,4,16,13,0.8626058084145966,0.07636250983305103
479,ER,4,16,14,0.8626658935360585,0.07710672610234817
480,ER,7,16,0,0.8620272419154802,0.0760646071105696
481,ER,7,16,1,0.8704603491925476,0.07082459232521744
482,ER,7,16,2,0.8712430869397518,0.07481949264506989
483,ER,7,16,3,0.8691483653379063,0.08080853001757111
484,ER,7,16,4,0.8666341315334348,0.08450999025447034
485,ER,7,16,5,0.8633768148332237,0.09196000291945677
486,ER,7,16,6,0.8608670472897023,0.09527066506143246
487,ER,7,16,7,0.8605454789971253,0.09851842363227986
488,ER,7,16,8,0.8583820981128912,0.10065477934400997
489,ER,7,16,9,0.859588690017322,0.09651263461860735
490,ER,7,16,10,0.8595922684950817,0.09946369712111601
491,ER,7,16,11,0.8601502836603565,0.09457139930156985
492,ER,7,16,12,0.8597905742929501,0.09766192926960895
493,ER,7,16,13,0.8592596133334499,0.09806527919242712
494,ER,7,16,14,0.860558759869356,0.09957154543818734
495,ER,1,20,0,0.8476516004138265,0.05896703764445274
496,ER,1,20,1,0.8657551380011685,0.0498579185739622
497,ER,1,20,2,0.870888431085574,0.04513183801787287
498,ER,1,20,3,0.8733002775851315,0.04421034251437116
